Pump_ID,pump_failure_status,inspection_rating,runtime_hours,flow_rate,inlet_pressure,outlet_pressure,vibration_amplitude,bearing_temperature,motor_current,motor_voltage
PMP-002,0,3,9000.4,555.364,1.586,4.127,4.832,334.324,63.755,396.473
PMP_002,0,3,9008.5,537.604,1.574,4.378,3.217,341.3,82.137,398.585
PMP-003,0,4,4004.6,554.214,1.481,3.989,6.003,339.383,60.237,400.097
PMP-003,0,4,4003.2,541.919,1.504,3.765,3.655,338.041,64.085,399.734
PMP-002,0,3,9008.7,559.603,1.555,3.727,3.71,334.302,76.265,400.015
PMP-003,0,4,4002.6,550.566,1.382,3.964,2.356,336.501,76.368,403.332
PMP-002,0,3,9008.3,626.177,1.533,4.028,3.752,336.367,72.173,398.193
PMP-004,0,5,1005.6,598.988,1.543,3.783,4.116,339.648,64.286,402.726
PMP-003,0,4,4001.9,531.324,1.446,3.687,4.817,334.191,77.041,399.422
PMP-004,0,five,1003.7,555.459,1.511,4.167,4.339,335.584,68.969,400.101
PMP-004,0,5,1005.9,581.237,1.596,4.134,4.201,332.433,73.426,395.894
PMP-002,0,3,9007.0,613.195,1.472,3.939,3.206,338.931,68.322,403.365
PMP-001,0,3,13002.6,497.503,1.579,4.151,4.401,330.878,64.666,396.443
PMP-004,0,5,1000.4,524.455,1.46,3.85,4.747,334.174,68.047,397.654
PMP-004,0,5,1006.5,549.489,1.557,3.844,1.502,334.882,75.741,397.739
PMP-004,0,5,1005.9,548.491,1.4,3.801,3.751,342.553,73.739,397.792
PMP-002,0,3,9002.1,594.943,1.56,4.421,4.347,326.606,69.324,401.541
PMP-003,0,4,4010.0,532.128,1.497,3.686,3.522,335.874,69.126,396.519
PMP-002,0,three,9008.3,567.469,1.626,4.412,2.828,342.782,62.107,399.566
PMP-002,0,3,9008.6,539.311,1.536,3.926,5.201,337.42,64.198,399.294
PMP-002,0,3,9004.1,581.005,1.508,4.098,4.798,333.803,75.026,399.805
PMP-001,1,3,13007.4,505.067,1.448,3.996,8.833,341.256,155.121,397.914
PMP-002,0,3,9001.1,609.174,1.629,4.634,3.488,335.68,70.834,402.827
PMP-004,0,5,1005.5,605.652,1.236,4.365,4.251,337.493,78.27,398.045
PMP-002,0,3,9007.9,516.885,1.577,3.733,2.455,337.765,70.816,400.476
PMP-004,0,5,1002.1,548.449,1.484,4.095,2.697,332.271,70.961,401.82
PMP-004,0,5,1007.7,630.497,1.473,3.818,5.681,332.316,75.554,397.776
PMP-004,0,5,1004.6,524.028,1.54,4.266,4.13,338.936,73.27,404.565
PMP-002,0,3,9006.9,555.241,1.471,4.001,2.186,332.901,74.696,397.238
PMP-003,0,4,4007.7,500.489,1.413,3.781,2.278,340.016,72.448,398.448
PMP-001,1,3,13008.1,550.903,1.603,4.038,14.358,373.523,73.448,385.525
PMP-004,0,5,1003.9,575.977,1.48,3.619,4.446,345.237,59.409,400.922
PMP-001,0,3,13009.7,551.982,1.553,4.325,5.613,336.318,76.565,403.003
PMP-004,0,5,1008.0,584.632,1.539,4.204,4.12,328.508,62.904,400.122
PMP-003,0,4,4006.0,529.973,1.63,4.176,4.927,336.285,77.443,400.906
PMP-003,0,4,4007.9,575.904,1.471,4.157,3.665,334.546,69.171,399.645
PMP-003,0,4,4002.1,537.469,1.472,3.878,4.669,333.257,73.304,396.864
PMP-001,0,3,13007.3,527.977,1.791,4.338,4.196,337.798,65.625,398.477
PMP-001,0,3,13006.8,570.315,1.363,3.337,1.729,328.906,67.983,403.743
PMP-002,0,3,9007.3,545.923,1.377,4.036,5.597,330.411,65.98,400.31
PMP-004,0,5,1008.8,556.708,1.429,3.939,5.121,336.979,73.409,404.037
PMP-003,0,4,4008.9,547.464,1.556,4.254,3.743,323.967,68.697,399.82
PMP-002,1,3,9003.6,486.314,1.454,4.128,14.917,364.293,67.551,404.677
PMP-004,0,5,1008.3,516.742,1.574,3.698,4.392,332.798,68.579,401.75
PMP-002,0,3,9005.7,597.63,1.374,3.989,3.511,333.65,71.88,396.639
PMP-004,0,5,1001.1,588.235,1.601,4.12,2.961,334.755,73.442,398.35
PMP-004,0,5,1009.0,588.258,1.268,4.026,2.715,333.53,64.477,398.944
PMP-004,0,5,1003.6,585.901,1.454,4.156,3.73,324.649,72.725,401.302
PMP-003,0,4,4006.4,507.897,1.64,4.205,4.298,337.161,76.21,398.98
PMP-002,0,3,9007.6,539.615,1.528,4.051,4.501,329.774,79.93,399.107
PMP-002,0,3,9004.0,521.947,1.622,4.462,4.102,337.518,69.659,396.626
PMP-003,0,4,4005.8,525.109,1.56,4.08,3.588,337.612,73.697,396.097
PMP-003,0,4,4007.8,536.001,1.337,3.791,5.303,329.235,72.743,402.755
PMP-004,0,5,1007.9,478.773,1.5,3.813,4.74,330.584,64.145,400.956
PMP-002,0,3,9007.0,521.224,1.599,4.023,4.294,342.03,62.79,397.561
PMP-004,0,5,1009.6,457.625,1.528,3.945,2.671,338.474,59.964,397.764
PMP-003,0,4,4006.2,579.874,1.49,4.062,2.105,334.792,70.909,397.572
PMP-002,0,3,9001.7,561.218,1.501,4.191,4.222,339.36,75.343,403.152
PMP-003,0,4,4009.2,544.042,1.547,4.194,4.885,335.366,77.014,400.869
PMP - 003,0,4,4000.6,567.605,1.517,4.258,3.601,333.647,63.964,
PMP-004,0,5,1005.1,464.221,1.509,3.832,4.837,335.452,72.004,397.754
PMP-001,0,3,13003.5,560.84,1.597,3.843,3.222,331.058,57.421,402.047
PMP-003,0,4,4010.0,528.204,1.678,4.366,3.114,332.695,72.814,397.317
PMP-002,1,3,9006.3,507.419,1.484,3.949,14.571,383.445,86.524,388.47
PMP-003,1,4,4008.6,489.746,1.44,3.877,13.965,384.355,91.803,386.176
PMP-004,0,5,1007.2,575.143,1.561,4.226,2.829,330.273,73.967,399.625
PMP-004,0,five,1006.5,542.005,1.554,3.724,4.15,332.261,79.228,400.787
PMP-003,0,4,4009.7,503.316,1.402,3.945,5.477,333.306,61.515,396.235
PMP-001,0,3,13007.9,548.318,1.563,4.022,5.178,330.705,71.499,398.45
PMP - 002,0,3,9007.7,598.405,1.495,3.993,1.697,338.215,75.166,402.026
PMP-002,0,3,9006.0,508.876,1.465,4.044,3.312,339.679,56.106,400.237
PMP-001,1,3,13004.5,219.199,1.349,3.33,6.57,340.456,26.803,381.012
PMP-004,0,5,1005.7,474.875,1.556,3.878,4.038,341.408,75.634,402.072
PMP-001,1,3,13007.3,466.235,1.508,4.291,15.967,373.631,68.691,398.013
PMP-002,0,3,9006.4,529.089,1.576,4.181,4.053,332.26,72.783,401.844
PMP-004,0,5,1002.4,585.792,1.611,4.228,2.822,335.997,68.04,398.612
PMP-003,0,4,4003.4,485.614,1.393,3.882,2.613,338.259,77.442,400.263
PMP-003,0,4,4000.0,503.175,1.464,3.942,4.009,330.734,70.868,397.459
PMP-003,0,4,4009.6,589.434,1.342,3.736,3.423,330.5,,400.192
PMP-003,0,4,4007.8,580.422,1.525,4.275,2.787,330.369,63.448,400.983
PMP-004,0,5,1002.1,516.866,1.516,4.104,2.273,334.575,75.319,402.505
PMP-004,0,5,1009.3,417.671,1.253,3.906,4.325,328.794,74.478,399.678
PMP-004,0,5,1009.5,535.648,1.542,4.286,3.599,331.955,65.056,402.985
PMP-001,0,3,13006.7,496.183,1.294,3.757,4.512,343.484,66.275,403.095
PMP-002,0,3,9003.2,575.469,1.348,4.404,5.635,335.495,76.336,400.479
PMP-002,0,3,9000.5,611.644,1.317,3.082,6.392,339.206,70.826,399.373
PMP-003,0,4,4003.1,558.752,1.595,4.093,5.023,325.933,70.322,400.315
PMP-004,0,5,1001.7,491.597,1.535,4.22,3.607,325.448,71.098,400.228
PMP-002,0,3,9009.1,585.342,1.571,4.359,4.796,331.603,63.892,400.677
PMP-003,0,4,4001.4,475.487,1.428,3.977,4.253,332.154,68.331,402.932
PMP-003,0,4,4006.2,585.694,1.456,3.893,3.398,335.416,76.011,402.804
PMP-004,0,5,1003.3,551.125,1.607,3.907,0.885,333.397,65.547,400.069
PMP-004,0,5,1006.0,523.045,1.52,4.098,52.26,341.088,66.35,400.254
PMP-004,0,five,1000.2,527.346,1.618,3.705,4.28,332.324,73.906,398.035
PMP-002,0,3,9000.2,591.442,1.376,3.762,2.875,337.357,78.649,400.054
PMP-004,0,five,1005.0,549.358,1.509,4.221,3.6,325.261,65.661,399.97
PMP-003,0,4,4006.9,482.135,1.531,3.774,4.382,336.92,71.326,403.375
PMP-002,0,3,9000.8,482.524,1.527,3.733,3.569,327.324,65.326,400.051
PMP-004,0,5,1006.3,544.573,1.588,4.068,3.907,328.808,68.457,400.461
PMP003,0,4,4008.9,544.573,1.449,3.809,3.022,324.232,76.485,401.695
PMP-003,0,4,4004.5,578.818,1.448,4.167,3.792,344.232,73.325,400.292
PMP-004,0,5,1006.3,571.863,1.42,4.15,4.211,335.126,72.278,400.237
PMP-004,0,5,1005.6,505.157,1.453,3.988,5.475,337.546,71.207,400.436
PMP-003,0,4,4001.3,528.925,1.47,3.994,4.006,334.621,68.862,402.543
PMP-004,0,5,1006.6,624.227,1.447,4.095,2.814,335.104,66.896,399.25
PMP-004,0,5,1007.7,550.18,1.53,3.885,5.567,334.296,74.999,401.941
PMP-002,0,3,9004.4,568.237,1.441,3.799,2.345,333.342,69.74,397.958
PMP-004,0,5,1007.9,585.66,1.652,4.091,4.684,332.996,376.088,397.69
PMP-004,0,5,1009.1,598.364,1.42,3.94,3.824,340.36,64.388,398.488
PMP-003,0,4,4009.4,498.027,1.291,3.791,4.394,340.984,64.634,399.233
PMP-004,0,5,1008.8,577.501,1.673,4.069,4.269,331.757,69.535,401.431
PMP-003,0,4,4007.2,567.245,1.471,3.611,3.657,339.709,62.872,399.368
PMP-004,0,5,1009.7,497.737,1.507,3.58,4.188,337.765,72.374,399.719
PMP-003,0,4,4004.9,643.708,1.487,3.911,4.816,334.698,74.824,399.053
PMP004,0,5,1006.2,528.313,1.292,3.958,4.924,336.488,74.177,398.287
PMP-003,0,4,4004.1,575.826,1.534,4.231,4.188,340.337,61.829,402.943
PMP-002,0,three,9007.1,553.314,1.428,3.821,5.964,336.932,68.86,398.439
PMP-001,0,3,13005.5,549.059,1.549,4.276,3.604,334.132,76.084,396.8
PMP-001,0,3,13008.6,578.433,1.66,4.105,2.208,338.257,81.488,399.829
PMP-001,1,3,13007.9,444.322,1.459,3.506,8.267,345.127,138.474,391.916
PMP-004,0,5,1005.4,607.549,1.232,3.599,5.193,337.413,78.989,399.899
PMP-004,0,5,1004.2,612.918,1.473,4.071,3.671,337.93,65.397,400.127
PMP-004,0,5,1003.3,489.099,1.538,4.304,3.573,342.879,72.877,400.835
PMP-004,0,5,1006.9,540.326,1.282,3.753,4.515,327.06,67.12,400.638
PMP-001,0,3,13000.7,504.919,1.492,3.566,3.84,342.195,74.691,399.825
PMP-002,0,3,9003.3,542.353,1.574,3.898,6.594,335.563,67.736,402.278
PMP-001,1,3,13001.7,124.563,1.563,3.993,5.453,355.174,19.222,398.544
PMP-004,0,5,1009.1,620.054,1.646,4.542,3.674,331.71,73.602,400.014
PMP-004,0,5,1003.5,572.506,1.639,4.466,5.24,333.693,66.242,402.311
PMP - 001,1,3,13003.7,522.409,1.527,3.951,4.772,330.065,143.797,385.136
PMP-003,0,four,4000.3,559.029,1.454,4.086,4.575,332.12,67.032,398.682
PMP-004,0,5,1001.3,525.36,1.399,4.043,3.752,342.337,72.507,401.909
PMP-004,0,5,1002.7,553.012,1.591,3.947,4.905,327.804,70.89,
PMP-003,0,4,4006.0,570.09,1.435,3.959,4.13,339.141,65.821,399.665
PMP004,0,5,1000.3,529.625,1.585,4.149,3.432,338.26,64.08,399.345
PMP-001,0,3,13009.7,611.79,1.399,3.993,4.385,333.554,69.733,400.401
PMP-003,1,4,4009.9,227.475,1.469,3.937,5.455,341.019,20.683,391.802
pmp-004,0,5,1009.3,494.517,1.605,3.835,4.59,332.812,67.938,399.579
PMP-004,0,5,1005.6,556.576,1.698,4.421,46.888,333.009,69.944,397.672
PMP-001,0,3,13007.1,562.357,1.594,4.042,3.609,330.424,70.26,402.898
PMP-004,0,5,1001.7,587.725,1.597,3.833,5.849,323.612,68.278,398.94
PMP-002,0,3,9006.5,481.909,1.35,4.19,5.363,329.462,81.01,401.228
PMP-002,1,3,9001.3,225.198,1.623,3.888,5.237,343.797,25.282,397.891
pmp-003,0,4,4009.1,539.583,1.324,3.761,2.237,332.608,70.047,400.57
PMP-004,0,5,1005.3,531.385,1.431,3.927,5.098,327.385,73.536,401.554
PMP-002,0,3,9000.4,550.135,1.361,4.012,2.247,332.239,72.273,400.679
PMP-003,0,4,4007.5,523.288,1.388,3.966,3.955,333.701,67.36,398.829
PMP-002,0,3,9003.4,521.36,1.776,4.311,4.132,331.201,65.958,399.677
PMP-003,0,4,4007.1,526.735,1.469,3.945,6.18,328.776,64.86,398.303
PMP-002,0,3,9000.8,547.526,1.6,4.471,4.212,337.785,66.006,398.485
PMP-002,0,3,9001.5,531.205,1.482,4.248,4.574,342.945,69.389,397.214
PMP-002,0,3,9005.6,512.33,1.344,3.957,3.577,331.127,72.816,399.775
PMP-002,0,3,9002.4,498.176,1.52,4.21,3.366,331.996,74.438,401.404
PMP-004,0,5,1009.1,519.447,1.615,3.863,3.934,340.677,70.059,401.634
PMP-001,0,3,13009.0,526.834,1.518,4.251,5.332,339.57,72.518,398.134
PMP-002,0,3,9004.2,482.292,1.729,3.927,5.453,337.46,65.2,399.269
PMP-003,0,4,4007.8,592.657,1.416,3.607,3.834,327.589,70.547,402.513
PMP-002,0,3,9008.1,514.295,1.456,3.802,5.532,332.481,72.753,398.98
PMP-004,0,5,1006.8,519.073,1.304,3.915,3.094,335.065,70.803,398.517
PMP-003,0,4,4006.2,500.927,1.492,3.728,3.432,343.823,81.785,399.336
PMP-004,0,5,1001.9,535.114,1.554,4.273,3.955,342.894,72.641,399.356
PMP-001,0,3,13009.4,536.961,1.27,3.593,4.552,326.522,77.385,397.304
PMP-002,0,3,9008.5,615.575,1.646,4.196,55.405,331.043,74.432,401.406
PMP-001,0,3,13009.9,574.838,1.618,4.02,5.792,327.61,73.48,401.772
PMP - 003,0,4,4007.3,517.467,1.698,4.332,4.171,332.791,68.647,401.56
PMP002,0,3,9001.6,531.279,1.32,3.677,3.458,335.569,64.462,399.265
PMP-004,0,5,1005.4,593.089,1.667,3.95,4.923,335.535,73.524,398.507
PMP-003,0,4,4001.6,517.243,1.519,3.964,3.25,334.431,75.045,399.883
PMP-003,0,4,4006.3,707.54,1.437,3.975,3.54,336.969,59.252,
PMP-004,0,5,1006.7,565.168,1.53,4.061,2.973,334.418,63.726,403.282
PMP-002,0,3,9002.3,535.489,1.425,3.849,4.048,327.712,70.546,401.01
PMP-002,0,3,9004.5,513.318,1.463,3.995,3.262,330.437,78.152,399.984
PMP-004,0,5,1008.3,513.921,1.64,4.032,3.993,327.254,69.882,399.922
PMP-004,0,5,1005.3,542.497,1.295,3.807,3.813,333.676,71.982,398.347
PMP - 004,0,5,1005.3,570.456,1.514,3.844,5.658,327.524,73.786,401.311
PMP-004,0,5,1006.9,477.351,1.406,3.774,3.099,338.881,69.458,401.468
PMP-004,0,5,1003.5,522.04,1.479,3.871,3.204,332.834,54.701,399.308
PMP-003,0,4,4008.2,481.78,1.64,4.012,2.522,326.112,78.013,399.904
PMP-004,0,5,1007.5,616.236,1.452,3.936,2.735,328.857,63.484,403.253
PMP-004,0,5,1002.9,523.9,1.587,4.014,3.659,335.813,61.503,399.914
PMP-002,0,3,9000.3,566.907,1.494,4.218,4.812,338.677,70.157,397.918
PMP-001,1,3,13006.1,463.777,1.525,3.978,15.07,374.595,67.211,388.917
PMP-003,0,4,4004.0,561.844,1.61,3.803,4.205,335.148,75.244,400.295
PMP-002,0,3,9006.4,517.379,1.433,3.881,4.628,332.03,70.545,399.328
PMP-003,0,4,4007.1,565.986,1.378,4.0,3.234,1413.96,72.207,395.998
PMP-002,0,3,9002.4,583.431,1.399,4.109,4.504,331.544,76.461,400.354
PMP-004,0,5,1000.0,556.27,1.582,4.121,3.691,341.362,72.071,398.865
PMP-004,0,5,1003.4,557.553,1.626,4.032,2.716,334.854,67.025,397.966
PMP-002,0,3,9007.4,558.982,1.644,4.165,3.159,331.894,70.367,399.053
PMP-003,0,4,4004.7,550.505,1.769,4.211,2.511,340.766,66.334,399.32
PMP-003,0,4,4001.1,560.326,1.532,3.72,5.025,343.059,64.766,397.122
PMP-002,0,3,9001.9,592.307,1.455,3.84,4.122,328.696,70.696,401.157
PMP-004,0,5,1000.9,561.205,1.692,4.313,2.288,337.65,70.324,399.834
PMP-003,0,4,4008.5,577.134,1.34,3.962,3.152,337.166,75.276,397.897
PMP_001,1,3,13006.7,461.593,1.601,4.129,13.902,369.369,89.748,385.667
PMP-002,0,3,9005.7,531.629,1.452,3.766,5.419,334.646,71.256,394.658
PMP-004,0,5,1002.0,568.195,1.408,3.807,4.576,338.369,69.112,401.775
PMP003,0,4,4002.8,563.684,1.4,4.033,60.758,334.98,70.946,401.669
PMP-002,0,three,9007.2,467.978,1.515,4.225,5.055,340.065,64.19,401.273
PMP-004,0,5,1004.1,483.582,1.363,3.805,3.589,337.53,72.595,398.883
PMP-003,0,4,4005.0,581.96,1.374,3.971,1.119,332.162,72.388,401.659
PMP-004,0,5,1006.8,548.635,1.534,4.348,3.012,333.752,62.049,397.419
PMP-001,0,3,13006.7,565.133,1.578,4.146,2.649,335.038,73.062,398.744
PMP-004,0,5,1008.8,428.888,1.408,3.98,46.407,342.695,78.532,396.803
PMP-002,0,3,9009.5,464.708,1.458,4.332,5.542,334.618,72.008,400.051
PMP_001,1,3,13005.2,495.279,1.611,4.243,15.318,369.487,73.416,377.709
pmp-003,0,4,4007.6,575.264,1.514,3.903,3.865,332.739,69.038,402.081
PMP-002,0,3,9002.6,600.509,1.419,3.909,3.341,328.223,72.652,400.741
PMP-004,0,5,1000.6,536.015,1.477,4.151,3.528,341.706,67.069,400.102
PMP-002,0,3,9002.7,521.424,1.325,3.413,5.498,335.412,69.781,397.96
PMP-003,0,4,4003.1,535.931,1.561,4.136,3.805,328.663,61.643,397.836
PMP-003,0,four,4007.1,481.865,1.609,4.291,4.381,335.815,70.293,401.203
PMP_002,0,3,9003.8,579.156,1.581,4.236,3.419,320.229,70.975,400.919
PMP-002,0,3,9005.8,547.218,1.498,3.954,3.334,339.587,78.895,399.051
PMP-002,0,3,9009.8,629.915,1.682,4.292,6.024,335.288,66.932,400.195
PMP-004,0,5,1001.9,530.146,1.481,3.889,5.018,330.975,62.645,396.059
PMP-001,1,3,13009.7,216.449,1.501,4.246,4.577,339.726,17.429,390.093
PMP-004,0,5,1009.5,572.39,1.714,4.136,3.075,332.582,72.247,
PMP-003,0,4,4006.8,622.492,1.626,3.92,3.522,330.342,71.594,400.217
PMP-004,0,5,1003.4,533.971,1.509,4.173,3.364,339.567,74.437,401.143
PMP004,0,5,1006.8,557.382,1.479,4.004,4.186,339.12,70.471,400.227
PMP-004,0,five,1005.2,472.191,1.529,3.862,3.038,339.531,68.199,1067.766
PMP-002,0,3,9004.9,575.024,1.485,3.854,5.08,345.098,70.679,401.517
PMP-002,0,3,9004.8,475.639,1.452,4.243,5.146,332.274,72.025,396.071
PMP-002,0,3,9002.4,610.788,1.336,3.925,2.837,336.063,67.275,396.983
PMP-003,0,4,4005.7,520.594,1.533,4.202,3.588,339.173,70.041,404.842
PMP-003,0,4,4008.7,488.631,1.526,3.958,2.511,335.602,66.751,398.938
PMP-003,0,4,4005.6,552.104,1.541,4.122,4.006,334.006,71.606,400.783
PMP-002,0,3,9001.0,573.228,1.36,3.829,5.594,334.167,74.85,400.53
PMP-002,0,3,9002.7,645.837,1.446,4.109,4.546,333.208,75.172,398.816
PMP-002,0,3,9004.2,544.415,1.519,3.91,3.508,339.756,81.518,395.847
PMP-003,0,4,4004.3,529.982,1.547,4.354,57.409,332.952,65.454,399.594
PMP-004,0,5,1003.8,566.648,1.506,4.102,5.27,330.874,69.883,397.125
PMP-004,0,5,1001.9,504.68,1.538,3.733,4.051,336.088,72.7,397.735
PMP-004,0,5,1009.8,566.092,1.49,4.299,3.187,334.97,75.8,398.372
PMP-002,0,3,9004.2,526.813,1.436,3.624,3.142,322.338,72.27,
PMP-002,0,3,9003.8,548.752,1.574,4.415,5.813,343.854,69.755,401.401
PMP-004,0,5,1002.8,499.674,1.425,4.264,4.018,337.07,66.573,399.154
PMP-003,0,4,4005.8,500.665,1.347,3.736,4.842,339.205,73.829,403.957
PMP-004,0,5,1009.4,457.772,1.646,3.757,4.335,337.259,71.719,401.136
PMP-003,0,4,4000.9,620.159,1.514,4.107,3.85,333.706,,400.701
PMP-004,0,5,1005.3,602.413,1.535,4.246,3.178,336.085,67.267,401.414
PMP-003,0,4,4005.9,573.699,1.536,4.185,5.294,334.439,61.555,395.441
PMP-002,0,3,9008.8,512.035,1.395,3.9,4.943,339.381,80.489,397.745
PMP-003,0,four,4004.6,639.879,1.485,3.872,4.256,338.642,66.978,398.502
PMP-001,0,3,13009.7,556.281,1.744,4.193,3.379,333.896,80.101,398.55
PMP-002,0,3,9005.1,471.438,1.578,4.06,4.046,333.747,71.015,398.808
PMP-002,0,3,9008.9,558.69,1.429,3.942,4.69,335.05,66.648,403.037
PMP-004,0,5,1003.4,558.568,1.611,4.251,4.244,341.397,69.715,401.129
PMP-004,0,5,1005.3,554.594,1.445,3.859,3.104,333.352,62.907,
PMP-002,0,3,9003.1,548.058,1.664,4.004,2.97,338.336,71.451,401.245
PMP-003,0,4,4002.2,534.91,1.59,4.292,3.382,342.199,58.25,399.567
PMP-002,0,3,9008.1,528.289,1.764,4.116,5.039,328.337,69.388,400.281
PMP-003,0,4,4005.7,606.613,1.503,4.329,6.134,335.05,63.637,399.726
PMP-001,0,3,13009.8,603.477,1.439,4.008,3.362,330.062,66.421,401.796
