UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type,Inspectors
147,H29560,H,298.5,308.4,1612,36.1,174.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""swing"", ""date"": ""2024-01-27"", ""all_passed"": true}"
155,L47334,L,298.4,308.2,1528,36.2,196.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen""], ""shift"": ""swing"", ""date"": ""2024-07-30"", ""all_passed"": false}"
156,H29569,H,298.4,308.2,1987,19.8,198.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Iqbal"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-02-22"", ""all_passed"": true}"
161,L47340,Low,298.4,308.2,1282,60.7,216.0,1,Overstrain Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Keller""], ""shift"": ""swing"", ""date"": ""2024-07-20"", ""all_passed"": false}"
174,M15033,M,298.2,308.0,1591,33.7,32.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Chen""], ""shift"": ""swing"", ""date"": ""2024-04-26"", ""all_passed"": true}"
177,L47356,L,298.2,308.1,1618,34.7,39.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Dubois"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-11-18"", ""all_passed"": false}"
181,L47360,L,298.2,308.3,1475,49.9,47.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-10-20"", ""all_passed"": true}"
184,L47363,L,298.1,308.2,1485,40.7,57.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-09-19"", ""all_passed"": true}"
192,L47371,L,298.2,308.4,1666,34.6,74.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Gupta""], ""shift"": ""night"", ""date"": ""2024-07-02"", ""all_passed"": true}"
197,H29610,H,298.3,308.6,1432,49.5,91.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-06-19"", ""all_passed"": true}"
209,L47388,L,298.4,308.6,1591,36.7,122.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Hofmann""], ""shift"": ""night"", ""date"": ""2024-11-01"", ""all_passed"": true}"
212,L47391,L,298.5,308.7,1575,33.9,128.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Iqbal"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-01-21"", ""all_passed"": true}"
213,H29626,H,298.4,308.7,1344,52.9,130.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""day"", ""date"": ""2024-07-26"", ""all_passed"": true}"
215,M15074,M,298.3,308.6,1589,37.1,137.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""day"", ""date"": ""2024-07-09"", ""all_passed"": true}"
216,L47395,L,298.3,308.6,1548,40.3,140.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Iqbal""], ""shift"": ""night"", ""date"": ""2024-08-28"", ""all_passed"": true}"
225,L47404,L,298.3,308.6,1584,29.3,162.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-03-03"", ""all_passed"": true}"
226,L47405,L,298.3,308.5,1362,53.8,164.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Iqbal"", ""Keller""], ""shift"": ""swing"", ""date"": ""2024-02-22"", ""all_passed"": true}"
229,M15088,M,298.3,308.5,1629,37.1,170.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-01-05"", ""all_passed"": true}"
230,L47409,L,298.3,308.5,1538,32.2,173.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Jensen""], ""shift"": ""night"", ""date"": ""2024-08-01"", ""all_passed"": true}"
237,L47416,L,298.1,308.3,1495,38.7,188.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Gupta"", ""Keller""], ""shift"": ""swing"", ""date"": ""2024-10-22"", ""all_passed"": true}"
240,L47419,L,298.0,308.2,1611,30.6,195.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen""], ""shift"": ""night"", ""date"": ""2024-09-08"", ""all_passed"": true}"
242,L47421,L,298.0,308.1,1777,24.3,200.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Fischer""], ""shift"": ""swing"", ""date"": ""2024-07-09"", ""all_passed"": true}"
245,M15104,M,298.0,308.2,1395,49.1,206.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Brunner"", ""Eriksson""], ""shift"": ""swing"", ""date"": ""2024-08-29"", ""all_passed"": true}"
267,H29680,H,298.0,308.1,1440,43.7,37.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez""], ""shift"": ""day"", ""date"": ""2024-12-23"", ""all_passed"": true}"
268,L47447,L,297.9,308.0,1954,21.1,42.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Eriksson"", ""Jensen""], ""shift"": ""night"", ""date"": ""2024-12-06"", ""all_passed"": true}"
273,L47452,L,298.1,308.1,1484,40.4,59.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Lombardi""], ""shift"": ""day"", ""date"": ""2024-11-06"", ""all_passed"": true}"
293,L47472,L,298.1,308.4,1335,40.2,109.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Eriksson""], ""shift"": ""night"", ""date"": ""2024-02-13"", ""all_passed"": true}"
296,M15155,M,298.1,308.6,1716,30.7,119.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Gupta"", ""Iqbal""], ""shift"": ""night"", ""date"": ""2024-09-01"", ""all_passed"": true}"
298,L47477,L,298.0,308.5,1713,25.3,124.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""night"", ""date"": ""2024-07-30"", ""all_passed"": true}"
299,H29712,H,297.9,308.5,2129,18.7,126.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Gupta"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-10-12"", ""all_passed"": true}"
301,L47480,L,297.8,308.4,1622,38.3,134.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-01-17"", ""all_passed"": true}"
305,L47484,L,297.8,308.4,1737,27.5,146.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Chen""], ""shift"": ""night"", ""date"": ""2024-01-09"", ""all_passed"": false}"
307,L47486,L,297.8,308.4,1374,47.1,150.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""swing"", ""date"": ""2024-03-14"", ""all_passed"": true}"
308,M15167,M,297.8,308.4,1579,36.6,152.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer""], ""shift"": ""day"", ""date"": ""2024-07-11"", ""all_passed"": false}"
311,H29724,H,298.0,308.6,1526,41.8,160.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-06-28"", ""all_passed"": true}"
314,L47493,L,298.0,308.6,1313,50.8,170.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Dubois"", ""Fischer""], ""shift"": ""day"", ""date"": ""2024-03-11"", ""all_passed"": true}"
319,L47498,L,297.8,308.4,1512,39.9,181.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Dubois""], ""shift"": ""night"", ""date"": ""2024-02-05"", ""all_passed"": true}"
324,L47503,L,297.8,308.5,1561,46.3,194.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""day"", ""date"": ""2024-09-22"", ""all_passed"": true}"
342,M15201,M,297.4,308.2,1530,32.6,22.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Hofmann""], ""shift"": ""night"", ""date"": ""2024-02-11"", ""all_passed"": true}"
346,L47525,L,297.5,308.3,1585,32.9,32.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez""], ""shift"": ""day"", ""date"": ""2024-08-05"", ""all_passed"": false}"
347,M15206,M,297.5,308.3,1459,45.2,34.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta"", ""Jensen"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-06-05"", ""all_passed"": true}"
354,H29767,H,297.5,308.3,1674,30.0,54.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""day"", ""date"": ""2024-08-12"", ""all_passed"": true}"
357,M15216,M,297.6,308.4,1398,48.9,63.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Iqbal"", ""Jensen""], ""shift"": ""night"", ""date"": ""2024-08-30"", ""all_passed"": true}"
358,L47537,L,297.6,308.4,1517,34.2,66.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""night"", ""date"": ""2024-11-12"", ""all_passed"": false}"
367,M15226,M,297.6,308.5,1552,40.9,90.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer""], ""shift"": ""day"", ""date"": ""2024-03-24"", ""all_passed"": true}"
370,H29783,H,297.5,308.4,1587,36.1,98.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Fischer""], ""shift"": ""night"", ""date"": ""2024-07-03"", ""all_passed"": true}"
371,M15230,M,297.5,308.3,1622,37.2,103.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-04-02"", ""all_passed"": true}"
376,L47555,L,297.4,308.2,1533,37.4,115.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""night"", ""date"": ""2024-09-14"", ""all_passed"": true}"
377,M15236,M,297.4,308.2,1401,51.9,117.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Dubois"", ""Eriksson""], ""shift"": ""swing"", ""date"": ""2024-04-03"", ""all_passed"": true}"
383,L47562,L,297.5,308.5,1335,48.0,131.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""night"", ""date"": ""2024-05-25"", ""all_passed"": true}"
385,L47564,L,297.5,308.5,1712,26.8,136.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Iqbal""], ""shift"": ""night"", ""date"": ""2024-03-04"", ""all_passed"": true}"
399,H29812,H,297.4,308.3,1502,43.6,169.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Chen"", ""Lombardi""], ""shift"": ""day"", ""date"": ""2024-02-23"", ""all_passed"": true}"
401,L47580,L,297.4,308.5,2100,16.9,176.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Dubois"", ""Eriksson""], ""shift"": ""day"", ""date"": ""2024-09-16"", ""all_passed"": true}"
403,L47582,L,297.4,308.6,1678,32.3,180.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Jensen"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-06-13"", ""all_passed"": true}"
404,L47583,L,297.3,308.6,1273,59.8,182.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta"", ""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-05-21"", ""all_passed"": true}"
406,L47585,L,297.3,308.5,1350,57.6,186.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Eriksson""], ""shift"": ""swing"", ""date"": ""2024-01-29"", ""all_passed"": true}"
407,L47586,L,297.4,308.6,1439,51.9,188.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez""], ""shift"": ""day"", ""date"": ""2024-03-28"", ""all_passed"": true}"
412,L47591,L,297.5,308.7,1429,44.3,201.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann"", ""Iqbal""], ""shift"": ""day"", ""date"": ""2024-12-05"", ""all_passed"": true}"
420,M15279,M,297.3,308.3,1501,38.2,2.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen"", ""Lombardi""], ""shift"": ""day"", ""date"": ""2024-09-20"", ""all_passed"": false}"
423,L47602,L,297.3,308.3,1333,55.2,11.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Keller"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-12-06"", ""all_passed"": true}"
438,L47617,L,297.3,308.3,1538,38.5,47.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""day"", ""date"": ""2024-09-14"", ""all_passed"": true}"
442,H29855,H,297.5,308.5,1393,46.6,56.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Hofmann"", ""Iqbal""], ""shift"": ""day"", ""date"": ""2024-10-09"", ""all_passed"": true}"
444,H29857,High,297.4,308.5,1469,45.1,63.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois""], ""shift"": ""day"", ""date"": ""2024-02-15"", ""all_passed"": true}"
451,M15310,M,297.6,308.7,1419,41.7,81.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""swing"", ""date"": ""2024-04-02"", ""all_passed"": true}"
452,H29865,H,297.5,308.6,1440,46.1,84.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""day"", ""date"": ""2024-04-25"", ""all_passed"": true}"
455,L47634,L,297.4,308.7,1468,46.6,94.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois""], ""shift"": ""swing"", ""date"": ""2024-10-31"", ""all_passed"": true}"
461,H29874,H,297.3,308.6,1431,42.0,109.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-05-16"", ""all_passed"": true}"
463,L47642,L,297.4,308.7,1433,43.4,116.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-11-23"", ""all_passed"": true}"
473,M15332,M,297.4,309.0,1497,41.8,144.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez""], ""shift"": ""swing"", ""date"": ""2024-06-04"", ""all_passed"": true}"
483,L47662,L,297.3,309.0,1548,37.4,171.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Dubois"", ""Gupta""], ""shift"": ""swing"", ""date"": ""2024-08-16"", ""all_passed"": true}"
485,L47664,L,297.4,309.0,1568,33.7,175.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""day"", ""date"": ""2024-11-26"", ""all_passed"": true}"
487,M15346,M,297.4,309.1,1582,35.9,180.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Keller"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-12-13"", ""all_passed"": false}"
489,L47668,L,297.4,309.2,1584,42.8,186.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-05-25"", ""all_passed"": true}"
490,M15349,M,297.5,309.2,1347,55.8,,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Hofmann""], ""shift"": ""night"", ""date"": ""2024-04-04"", ""all_passed"": true}"
492,L47671,L,297.4,309.2,1420,45.6,193.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Jensen""], ""shift"": ""night"", ""date"": ""2024-10-15"", ""all_passed"": true}"
496,H29909,H,297.5,309.3,1459,49.7,201.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez""], ""shift"": ""swing"", ""date"": ""2024-11-04"", ""all_passed"": true}"
500,L47679,L,297.5,309.1,1515,35.1,213.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Eriksson""], ""shift"": ""swing"", ""date"": ""2024-03-31"", ""all_passed"": false}"
501,M15360,M,297.5,309.2,1804,27.4,215.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez""], ""shift"": ""swing"", ""date"": ""2024-10-12"", ""all_passed"": true}"
502,M15361,M,297.6,309.3,1464,46.2,218.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""night"", ""date"": ""2024-12-09"", ""all_passed"": true}"
503,L47682,L,297.6,309.2,1390,43.3,221.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""day"", ""date"": ""2024-09-08"", ""all_passed"": true}"
504,M15363,M,297.6,309.2,1442,48.1,0.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Fischer"", ""Lombardi""], ""shift"": ""day"", ""date"": ""2024-04-14"", ""all_passed"": false}"
510,M15369,M,297.6,309.3,1415,41.3,17.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Dubois""], ""shift"": ""night"", ""date"": ""2024-09-09"", ""all_passed"": true}"
514,L47693,l,297.4,309.2,1428,,26.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""night"", ""date"": ""2024-01-10"", ""all_passed"": false}"
519,L47698,Low,297.6,309.5,1924,20.6,37.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann"", ""Jensen"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-06-11"", ""all_passed"": true}"
528,M15387,M,297.6,309.6,1592,35.8,57.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-02-26"", ""all_passed"": true}"
531,M15390,M,297.6,309.5,1709,32.2,65.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Fischer"", ""Gupta""], ""shift"": ""swing"", ""date"": ""2024-04-19"", ""all_passed"": true}"
537,L47716,L,297.4,309.3,1759,24.8,81.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Iqbal""], ""shift"": ""night"", ""date"": ""2024-01-08"", ""all_passed"": true}"
547,L47726,L,297.5,309.4,1809,24.3,110.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann""], ""shift"": ""day"", ""date"": ""2024-12-11"", ""all_passed"": true}"
552,L47731,L,297.4,309.2,1274,54.3,121.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-11-27"", ""all_passed"": true}"
555,H29968,H,297.5,309.4,1368,45.3,129.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""swing"", ""date"": ""2024-09-13"", ""all_passed"": true}"
557,L47736,L,297.5,309.4,1357,50.1,137.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""night"", ""date"": ""2024-04-21"", ""all_passed"": true}"
570,M15429,M,297.7,309.6,1596,35.2,173.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Gupta""], ""shift"": ""night"", ""date"": ""2024-04-21"", ""all_passed"": false}"
573,L47752,L,297.8,309.9,1351,49.0,181.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""night"", ""date"": ""2024-10-30"", ""all_passed"": true}"
577,H29990,H,297.7,309.7,1440,51.1,191.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Gupta""], ""shift"": ""swing"", ""date"": ""2024-05-26"", ""all_passed"": true}"
579,L47758,L,297.8,309.8,1533,36.8,198.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-12-27"", ""all_passed"": false}"
585,H29998,H,297.6,309.6,1419,48.2,215.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Gupta""], ""shift"": ""day"", ""date"": ""2024-04-18"", ""all_passed"": false}"
588,H30001,H,297.6,309.5,1623,33.1,224.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-09-15"", ""all_passed"": true}"
591,L47770,L,297.5,309.4,1517,36.7,233.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Hofmann"", ""Lombardi""], ""shift"": ""day"", ""date"": ""2024-06-04"", ""all_passed"": true}"
592,H30005,H,297.5,309.3,1525,41.7,235.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Fischer"", ""Keller""], ""shift"": ""swing"", ""date"": ""2024-08-26"", ""all_passed"": true}"
604,L47783,L,297.9,309.8,1336,71.6,31.0,1,Power Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer"", ""Hofmann"", ""Jensen""], ""shift"": ""night"", ""date"": ""2024-03-02"", ""all_passed"": true}"
617,H30030,H,298.1,309.9,1686,29.1,60.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois""], ""shift"": ""swing"", ""date"": ""2024-09-11"", ""all_passed"": true}"
619,H30032,H,298.2,310.0,1433,44.2,68.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-11-10"", ""all_passed"": false}"
625,H30038,H,298.3,310.1,1509,37.6,85.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Lombardi""], ""shift"": ""day"", ""date"": ""2024-10-23"", ""all_passed"": true}"
635,L47814,L,298.3,309.9,1507,41.6,112.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""night"", ""date"": ""2024-05-14"", ""all_passed"": false}"
642,L47821,L,297.9,309.5,1390,47.9,127.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-07-01"", ""all_passed"": true}"
646,L47825,L,297.7,309.4,1392,44.1,140.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""night"", ""date"": ""2024-12-10"", ""all_passed"": true}"
649,H30062,H,297.7,309.3,1400,48.9,147.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Brunner"", ""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-02-07"", ""all_passed"": true}"
