UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type,Inspectors
675,L47854,L,297.8,309.0,1456,41.2,0.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""swing"", ""date"": ""2024-03-26"", ""all_passed"": true}"
2472,L49651,L,298.9,308.4,1301,51.1,138.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-05-04"", ""all_passed"": true}"
6049,M20908,M,300.9,311.0,1556,38.8,127.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer"", ""Gupta"", ""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-06-12"", ""all_passed"": true}"
7281,L54460,Low,299.9,310.2,1288,69.6,62.0,1,Power Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Gupta"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-10-21"", ""all_passed"": true}"
9783,L56962,L,298.7,309.9,1404,47.1,64.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer"", ""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-01-04"", ""all_passed"": true}"
3161,M18020,M,300.4,309.7,1367,51.2,143.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Gupta"", ""Hofmann""], ""shift"": ""day"", ""date"": ""2024-01-25"", ""all_passed"": false}"
8479,M23338,M,298.5,309.7,1354,60.8,96.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-10-15"", ""all_passed"": true}"
102,L47281,L,298.8,308.8,1991,20.7,59.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""night"", ""date"": ""2024-07-01"", ""all_passed"": true}"
31,M14890,M,299.1,309.5,1339,48.2,86.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Dubois""], ""shift"": ""night"", ""date"": ""2024-05-13"", ""all_passed"": false}"
8719,L55898,L,297.2,308.7,1509,39.3,66.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-11-06"", ""all_passed"": true}"
3894,L51073,L,302.3,311.2,1549,40.6,66.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-04-25"", ""all_passed"": true}"
8696,M23555,M,297.2,308.6,1498,44.4,9.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""swing"", ""date"": ""2024-02-06"", ""all_passed"": true}"
5468,L52647,L,302.9,312.4,1383,51.4,160.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-09-19"", ""all_passed"": true}"
5232,L52411,L,303.8,313.1,1458,42.2,25.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Eriksson""], ""shift"": ""day"", ""date"": ""2024-02-12"", ""all_passed"": true}"
7261,L54440,L,300.4,310.5,2424,14.5,12.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Gupta""], ""shift"": ""swing"", ""date"": ""2024-08-01"", ""all_passed"": false}"
2176,M17035,M,299.5,309.2,1590,35.9,22.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Fischer""], ""shift"": ""night"", ""date"": ""2024-07-28"", ""all_passed"": true}"
285,L47464,L,298.2,308.3,2051,19.2,90.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""swing"", ""date"": ""2024-08-13"", ""all_passed"": true}"
1567,M16426,M,298.0,308.1,1403,44.8,148.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Gupta"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-11-18"", ""all_passed"": true}"
7191,L54370,L,300.3,310.3,1345,46.3,50.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""night"", ""date"": ""2024-11-29"", ""all_passed"": true}"
7132,M21991,M,300.5,309.8,1410,44.4,111.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Dubois"", ""Eriksson""], ""shift"": ""night"", ""date"": ""2024-05-15"", ""all_passed"": true}"
6559,M21418,M,301.5,310.6,1447,41.9,140.0,0,No Failure,"{""lead"": ""Lombardi"", ""team"": [""Lombardi""], ""shift"": ""day"", ""date"": ""2024-07-04"", ""all_passed"": true}"
1598,L48777,L,297.9,308.1,1531,40.8,2.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Fischer""], ""shift"": ""swing"", ""date"": ""2024-06-21"", ""all_passed"": true}"
603,L47782,L,297.9,309.8,2000,21.3,29.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer""], ""shift"": ""swing"", ""date"": ""2024-06-27"", ""all_passed"": true}"
4518,L51697,L,302.4,310.3,1520,31.6,121.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta""], ""shift"": ""swing"", ""date"": ""2024-08-04"", ""all_passed"": true}"
3460,L50639,L,301.5,310.4,1270,54.2,26.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer"", ""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-10-02"", ""all_passed"": true}"
7732,L54911,L,300.6,312.0,1566,30.1,128.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Jensen"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-03-21"", ""all_passed"": true}"
7405,L54584,L,299.8,310.8,1553,32.2,161.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen"", ""Lombardi""], ""shift"": ""day"", ""date"": ""2024-03-26"", ""all_passed"": true}"
4760,L51939,L,303.5,311.6,1361,46.5,62.0,1,Heat Dissipation Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-02-08"", ""all_passed"": false}"
5823,M20682,M,301.3,311.0,1463,50.2,214.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Fischer""], ""shift"": ""day"", ""date"": ""2024-04-05"", ""all_passed"": true}"
6087,L53266,L,300.9,310.8,1482,37.0,5.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer""], ""shift"": ""day"", ""date"": ""2024-08-20"", ""all_passed"": true}"
6940,M21799,M,300.7,311.3,1348,53.0,35.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Keller"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-08-15"", ""all_passed"": true}"
1202,L48381,L,296.9,308.0,1658,41.0,74.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Iqbal""], ""shift"": ""night"", ""date"": ""2024-04-07"", ""all_passed"": true}"
180,L47359,L,298.2,308.3,1304,49.8,45.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta""], ""shift"": ""day"", ""date"": ""2024-01-13"", ""all_passed"": true}"
7558,M22417,M,300.4,311.5,1750,27.3,116.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-11-30"", ""all_passed"": true}"
9668,L56847,L,299.2,310.3,1352,,238.0,1,Overstrain Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Fischer"", ""Iqbal""], ""shift"": ""day"", ""date"": ""2024-12-06"", ""all_passed"": true}"
2679,L49858,L,299.8,309.6,1447,43.1,12.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Eriksson"", ""Hofmann""], ""shift"": ""night"", ""date"": ""2024-05-27"", ""all_passed"": true}"
3749,L50928,L,302.5,311.1,1493,39.0,137.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Fischer"", ""Gupta""], ""shift"": ""night"", ""date"": ""2024-09-04"", ""all_passed"": false}"
462,L47641,L,297.4,308.7,1402,40.2,114.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""day"", ""date"": ""2024-02-06"", ""all_passed"": true}"
9839,L57018,L,298.4,309.2,1425,45.5,11.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer"", ""Hofmann""], ""shift"": ""day"", ""date"": ""2024-04-02"", ""all_passed"": true}"
3420,L50599,L,301.5,310.5,1611,33.8,144.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""swing"", ""date"": ""2024-12-23"", ""all_passed"": true}"
2721,L49900,L,299.6,309.2,1559,39.1,110.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann"", ""Iqbal"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-07-13"", ""all_passed"": true}"
1782,L48961,L,298.5,308.1,1662,28.6,48.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""day"", ""date"": ""2024-11-08"", ""all_passed"": true}"
1603,H31016,H,297.8,307.9,1600,33.5,13.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-02-22"", ""all_passed"": true}"
2676,L49855,L,299.7,309.3,1574,35.8,6.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann""], ""shift"": ""night"", ""date"": ""2024-02-19"", ""all_passed"": true}"
3864,L51043,L,302.5,311.4,1674,27.0,223.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Fischer"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-07-22"", ""all_passed"": true}"
5798,L52977,L,301.6,311.0,1431,42.6,158.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Chen"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-03-17"", ""all_passed"": false}"
6316,M21175,M,301.0,310.4,1517,46.1,145.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""night"", ""date"": ""2024-10-22"", ""all_passed"": true}"
2701,L49880,L,299.9,309.3,1473,40.4,59.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""night"", ""date"": ""2024-07-01"", ""all_passed"": true}"
8991,L56170,L,297.2,307.9,1493,38.4,146.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-07-11"", ""all_passed"": true}"
9357,L56536,L,298.3,308.9,1270,52.7,44.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""night"", ""date"": ""2024-03-26"", ""all_passed"": true}"
7105,L54284,L,300.9,310.4,1454,43.1,43.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Jensen"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-09-30"", ""all_passed"": false}"
3220,M18079,M,300.6,309.6,1503,38.4,68.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen""], ""shift"": ""swing"", ""date"": ""2024-11-09"", ""all_passed"": true}"
7695,H37108,H,300.6,311.7,1500,36.7,17.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann""], ""shift"": ""night"", ""date"": ""2024-06-22"", ""all_passed"": false}"
4232,L51411,L,302.2,310.8,1340,47.8,54.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta"", ""Lombardi""], ""shift"": ""day"", ""date"": ""2024-01-30"", ""all_passed"": true}"
2239,L49418,L,299.3,308.6,1474,49.6,191.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Dubois"", ""Gupta""], ""shift"": ""swing"", ""date"": ""2024-12-17"", ""all_passed"": true}"
7187,M22046,M,300.4,310.5,1644,31.4,41.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen""], ""shift"": ""day"", ""date"": ""2024-01-11"", ""all_passed"": true}"
2568,L49747,L,299.4,309.1,1766,24.6,158.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Dubois""], ""shift"": ""swing"", ""date"": ""2024-12-21"", ""all_passed"": false}"
2787,M17646,M,300.2,309.5,1630,28.3,51.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Jensen"", ""Keller""], ""shift"": ""swing"", ""date"": ""2024-08-13"", ""all_passed"": true}"
9458,M24317,M,298.5,309.3,1692,26.7,118.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Dubois"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-08-28"", ""all_passed"": true}"
1560,L48739,L,298.2,308.3,1458,41.8,132.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-01-23"", ""all_passed"": true}"
6738,M21597,M,301.7,311.0,1537,33.5,146.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-12-28"", ""all_passed"": true}"
8437,L55616,l,298.7,309.9,1371,51.3,201.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois""], ""shift"": ""night"", ""date"": ""2024-01-29"", ""all_passed"": true}"
287,L47466,L,298.2,308.3,1589,33.2,94.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""swing"", ""date"": ""2024-07-25"", ""all_passed"": true}"
9821,M24680,M,298.6,309.5,1568,36.7,182.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Dubois"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-09-01"", ""all_passed"": true}"
2895,L50074,L,300.7,309.6,1733,24.8,85.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer"", ""Gupta""], ""shift"": ""swing"", ""date"": ""2024-06-27"", ""all_passed"": true}"
5180,M20039,M,304.0,313.1,1450,42.8,101.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-04-05"", ""all_passed"": true}"
9750,H39163,H,298.8,310.1,1483,45.4,192.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez""], ""shift"": ""swing"", ""date"": ""2024-01-13"", ""all_passed"": false}"
4646,L51825,L,303.3,311.4,1732,25.6,,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Eriksson"", ""Gupta""], ""shift"": ""day"", ""date"": ""2024-12-12"", ""all_passed"": true}"
8474,M23333,M,298.6,309.8,1430,43.1,80.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""swing"", ""date"": ""2024-07-26"", ""all_passed"": true}"
3244,L50423,L,301.0,309.6,1724,28.1,133.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-05-29"", ""all_passed"": true}"
1571,L48750,L,298.2,308.4,1452,43.5,158.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Keller""], ""shift"": ""swing"", ""date"": ""2024-07-19"", ""all_passed"": true}"
4258,M19117,M,302.6,311.0,1589,39.0,122.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-10-29"", ""all_passed"": true}"
5848,L53027,L,301.4,311.3,1397,42.3,48.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-06-19"", ""all_passed"": true}"
119,M14978,M,298.8,308.6,1707,28.1,103.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Gupta"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-06-12"", ""all_passed"": true}"
1268,M16127,M,298.1,309.6,1549,38.7,43.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-03-07"", ""all_passed"": false}"
8738,L55917,L,297.3,308.7,1556,36.7,114.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Eriksson""], ""shift"": ""day"", ""date"": ""2024-07-05"", ""all_passed"": true}"
3752,L50931,L,302.4,311.1,1520,42.2,143.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-01-09"", ""all_passed"": true}"
1220,M16079,M,296.9,308.1,1357,41.8,127.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Dubois""], ""shift"": ""swing"", ""date"": ""2024-01-24"", ""all_passed"": true}"
7401,M22260,M,299.6,310.6,1633,34.2,151.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""day"", ""date"": ""2024-03-29"", ""all_passed"": false}"
6526,L53705,L,301.1,310.4,1312,73.6,49.0,1,Power Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-04-20"", ""all_passed"": false}"
9469,L56648,L,298.6,309.4,1375,55.4,145.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Dubois""], ""shift"": ""night"", ""date"": ""2024-02-19"", ""all_passed"": true}"
8431,L55610,L,298.9,310.2,1304,57.2,183.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Keller""], ""shift"": ""day"", ""date"": ""2024-10-05"", ""all_passed"": true}"
1300,M16159,M,298.7,309.9,1458,40.2,137.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Dubois"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-11-03"", ""all_passed"": true}"
1771,H31184,H,298.4,307.9,1605,31.0,18.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta""], ""shift"": ""day"", ""date"": ""2024-02-01"", ""all_passed"": true}"
9793,H39206,H,298.5,309.4,1573,36.0,97.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Eriksson"", ""Gupta""], ""shift"": ""swing"", ""date"": ""2024-10-16"", ""all_passed"": true}"
1796,M16655,M,298.1,307.7,1498,38.3,81.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-03-06"", ""all_passed"": true}"
5347,L52526,L,303.4,312.7,1534,35.5,98.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez""], ""shift"": ""night"", ""date"": ""2024-05-16"", ""all_passed"": true}"
6645,L53824,L,301.5,310.6,1565,43.9,,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-03-05"", ""all_passed"": false}"
7697,H37110,H,300.6,311.5,1282,60.2,24.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta""], ""shift"": ""night"", ""date"": ""2024-10-08"", ""all_passed"": true}"
4990,L52169,L,303.9,313.2,1499,37.4,7.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""swing"", ""date"": ""2024-08-01"", ""all_passed"": false}"
9684,M24543,M,299.0,310.0,1338,56.4,29.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""swing"", ""date"": ""2024-12-01"", ""all_passed"": true}"
2114,L49293,L,299.5,309.1,1863,22.5,79.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Gupta"", ""Jensen""], ""shift"": ""night"", ""date"": ""2024-09-17"", ""all_passed"": true}"
5958,L53137,Low,300.7,310.9,1637,37.2,115.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Fischer"", ""Iqbal""], ""shift"": ""night"", ""date"": ""2024-01-25"", ""all_passed"": false}"
3173,M18032,M,300.3,309.6,1488,41.3,172.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta""], ""shift"": ""swing"", ""date"": ""2024-11-05"", ""all_passed"": true}"
4392,M19251,M,302.2,310.1,1368,51.6,,1,Heat Dissipation Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois""], ""shift"": ""day"", ""date"": ""2024-07-08"", ""all_passed"": false}"
9351,L56530,L,298.2,308.7,2186,17.8,31.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""day"", ""date"": ""2024-08-13"", ""all_passed"": true}"
4823,L52002,L,303.5,311.9,1565,38.9,12.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta"", ""Iqbal"", ""Keller""], ""shift"": ""swing"", ""date"": ""2024-10-20"", ""all_passed"": true}"
1921,L49100,L,298.1,307.9,2161,17.5,5.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal"", ""Jensen"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-12-08"", ""all_passed"": true}"
4123,L51302,L,302.2,310.6,1462,43.6,0.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta""], ""shift"": ""swing"", ""date"": ""2024-10-14"", ""all_passed"": true}"
8898,M23757,M,297.3,308.7,1577,35.6,133.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""swing"", ""date"": ""2024-03-09"", ""all_passed"": true}"
601,L47780,L,297.8,309.7,1547,37.3,25.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez""], ""shift"": ""swing"", ""date"": ""2024-12-08"", ""all_passed"": false}"
2468,M17327,M,298.9,308.6,1574,33.5,128.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""day"", ""date"": ""2024-06-30"", ""all_passed"": true}"
8251,M23110,M,299.0,310.4,1394,45.2,122.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Gupta""], ""shift"": ""night"", ""date"": ""2024-02-23"", ""all_passed"": true}"
3622,L50801,L,301.9,311.2,1657,29.1,23.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Jensen"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-12-06"", ""all_passed"": true}"
6872,L54051,L,301.0,311.3,1349,47.0,71.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-10-03"", ""all_passed"": true}"
9873,L57052,L,298.9,309.9,1373,52.1,108.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Gupta"", ""Iqbal""], ""shift"": ""night"", ""date"": ""2024-05-03"", ""all_passed"": true}"
6081,L53260,L,300.9,310.7,1468,36.2,208.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Eriksson""], ""shift"": ""swing"", ""date"": ""2024-06-02"", ""all_passed"": true}"
7368,M22227,M,299.5,310.1,1359,61.1,67.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""swing"", ""date"": ""2024-09-22"", ""all_passed"": true}"
7094,H36507,H,300.7,310.3,1369,50.7,12.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann"", ""Iqbal""], ""shift"": ""day"", ""date"": ""2024-09-30"", ""all_passed"": true}"
7648,L54827,L,300.4,311.4,1728,31.7,133.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Gupta""], ""shift"": ""night"", ""date"": ""2024-10-11"", ""all_passed"": true}"
4867,L52046,L,303.6,312.4,1781,28.7,124.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer""], ""shift"": ""night"", ""date"": ""2024-04-02"", ""all_passed"": false}"
3809,M18668,M,302.3,310.9,1762,24.5,73.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Gupta"", ""Keller""], ""shift"": ""night"", ""date"": ""2024-04-08"", ""all_passed"": true}"
2070,H31483,High,299.7,309.6,1553,41.0,179.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez""], ""shift"": ""night"", ""date"": ""2024-08-26"", ""all_passed"": true}"
